data,title
"[{'Distro_Version': '1.1.7', 'Python_version': '2.6.6'}]",vyos
"[{'Distro_Version': '9', 'Python_version': '2.7.13'}, {'Distro_Version': '16.04.2', 'Python_version': '2.7.11'}, {'Distro_Version': '14.04.04', 'Python_version': '2.7.5'}, {'Distro_Version': '7', 'Python_version': '2.7.3'}, {'Distro_Version': '13.10', 'Python_version': '2.7.5'}, {'Distro_Version': '13.04', 'Python_version': '2.7.4'}, {'Distro_Version': '12.04', 'Python_version': '2.7.3'}]",voyager
"[{'Distro_Version': '2.03', 'Python_version': '2.7.9'}, {'Distro_Version': '1.5', 'Python_version': '2.7.8'}, {'Distro_Version': '1.0', 'Python_version': '2.7.3'}]",volumio
"[{'Distro_Version': 'current', 'Python_version': '2.7.13'}, {'Distro_Version': '20150221', 'Python_version': '2.7.9'}]",void
"[{'Distro_Version': '5.1', 'Python_version': '2.7.5'}, {'Distro_Version': '4.1', 'Python_version': '2.7.3'}, {'Distro_Version': '3.2.1', 'Python_version': '2.7.1'}, {'Distro_Version': '3.1', 'Python_version': '2.6.6'}, {'Distro_Version': '3.0.2', 'Python_version': '2.6.5'}]",vinux
"[{'Distro_Version': 'VineSeed', 'Python_version': '2.7.11'}, {'Distro_Version': '6.5', 'Python_version': '2.6.6'}, {'Distro_Version': 'poupille', 'Python_version': '2.6.6'}, {'Distro_Version': '6.3', 'Python_version': '2.6.6'}, {'Distro_Version': 'malartic', 'Python_version': '2.6.6'}, {'Distro_Version': '6.2', 'Python_version': '2.6.6'}, {'Distro_Version': 'hautbailly', 'Python_version': '2.5.4'}, {'Distro_Version': '6.1', 'Python_version': '2.5.4'}, {'Distro_Version': 'papeclement', 'Python_version': '2.5.4'}, {'Distro_Version': '6.0', 'Python_version': '2.4.4'}, {'Distro_Version': 'hautbrion', 'Python_version': '2.4.4'}, {'Distro_Version': '5.2', 'Python_version': '2.4.4'}, {'Distro_Version': 'palmer', 'Python_version': '2.3.4'}, {'Distro_Version': '5.1', 'Python_version': '2.3.4'}, {'Distro_Version': 'cheval', 'Python_version': '2.3.4'}, {'Distro_Version': '5.0', 'Python_version': '1.5.2'}, {'Distro_Version': 'lafite', 'Python_version': '1.5.2'}, {'Distro_Version': '4.2', 'Python_version': '1.5.2'}, {'Distro_Version': 'cos', 'Python_version': '1.5.2'}, {'Distro_Version': '4.1', 'Python_version': '1.5.2'}, {'Distro_Version': 'cos', 'Python_version': '1.5.1'}, {'Distro_Version': '4.0', 'Python_version': '1.5.1'}]",vine
"[{'Distro_Version': '7.2-beta1', 'Python_version': '2.7.11'}, {'Distro_Version': '7.1', 'Python_version': '2.7.8'}, {'Distro_Version': '7.0', 'Python_version': '2.7.2'}, {'Distro_Version': '6.0', 'Python_version': '2.5.2'}, {'Distro_Version': '5.9', 'Python_version': '2.5.1'}, {'Distro_Version': '5.8', 'Python_version': '2.4.3'}, {'Distro_Version': '5.1', 'Python_version': '--'}, {'Distro_Version': '4.3', 'Python_version': '--'}, {'Distro_Version': '4.0', 'Python_version': '--'}, {'Distro_Version': '3.2', 'Python_version': '--'}]",vector
"[{'Distro_Version': '1.0', 'Python_version': '2.7.5'}]",uruk
"[{'Distro_Version': '2017-rc', 'Python_version': '2.7.11'}, {'Distro_Version': '2012', 'Python_version': '3.2'}, {'Distro_Version': '2011', 'Python_version': '3.1.3'}, {'Distro_Version': '2010', 'Python_version': '3.1.1'}, {'Distro_Version': '2009', 'Python_version': '2.5.2'}, {'Distro_Version': '2008', 'Python_version': '2.5.1'}, {'Distro_Version': '2006.0', 'Python_version': '2.4.2'}, {'Distro_Version': '2005.1', 'Python_version': '2.3.5'}, {'Distro_Version': '2005.0', 'Python_version': '2.3.3'}]",ututo
"[{'Distro_Version': '7.0.3', 'Python_version': '2.7.9'}, {'Distro_Version': '6.0', 'Python_version': '2.7.8'}, {'Distro_Version': '5.0', 'Python_version': '2.7.3'}, {'Distro_Version': '4.0', 'Python_version': '2.7.2'}, {'Distro_Version': '3.2', 'Python_version': '2.7'}, {'Distro_Version': '3.0', 'Python_version': '2.6.2'}, {'Distro_Version': '2.6', 'Python_version': '2.6.2'}, {'Distro_Version': '2.4', 'Python_version': '2.5.2'}, {'Distro_Version': '2.3', 'Python_version': '2.5.2'}, {'Distro_Version': '2.2', 'Python_version': '2.5.1'}, {'Distro_Version': '2.1', 'Python_version': '2.5.1'}, {'Distro_Version': '2.0', 'Python_version': '2.4.3'}, {'Distro_Version': '1.3', 'Python_version': '2.4.3'}, {'Distro_Version': '1.2', 'Python_version': '2.4.1'}, {'Distro_Version': '1.1', 'Python_version': '2.4.1'}, {'Distro_Version': '1.0', 'Python_version': '2.4'}]",urix
